batch_id,cluster_id,num_cases,risk_score,alert_level,temporal_concentration,geographic_concentration,event_similarity,severity_concentration,size_anomaly,manufacturing_concentration,primary_region,primary_drug,primary_event
BATCH_Site_A_Germany_462,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Metformin,Fatigue
BATCH_Site_C_USA_780,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Ibuprofen,Insomnia
BATCH_Site_D_China_737,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Atorvastatin,Headache
BATCH_Site_E_Brazil_944,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Aspirin,Nausea
BATCH_Site_E_Brazil_722,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Atorvastatin,Insomnia
BATCH_Site_C_USA_345,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Headache
BATCH_Site_C_USA_731,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Ibuprofen,Fever
BATCH_Site_C_USA_180,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Dizziness
BATCH_Site_A_Germany_965,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Headache
BATCH_Site_A_Germany_703,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Aspirin,Allergic_Reaction
BATCH_Site_D_China_675,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Albuterol,Fever
BATCH_Site_D_China_547,-1,2,0.27265322080103277,LOW,0.9888888888888889,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Atorvastatin,Headache
BATCH_Site_A_Germany_358,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Ibuprofen,Allergic_Reaction
BATCH_Site_E_Brazil_210,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,South_America,Amoxicillin,Fatigue
BATCH_Site_C_USA_749,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Ibuprofen,Dizziness
BATCH_Site_C_USA_480,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Sertraline,Allergic_Reaction
BATCH_Site_C_USA_442,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Fatigue
BATCH_Site_A_Germany_013,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Amoxicillin,Allergic_Reaction
BATCH_Site_D_China_910,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Metformin,Dizziness
BATCH_Site_D_China_031,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Levothyroxine,Headache
BATCH_Site_D_China_486,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Fever
BATCH_Site_D_China_115,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Allergic_Reaction
BATCH_Site_D_China_903,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Dizziness
BATCH_Site_D_China_912,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Albuterol,Nausea
BATCH_Site_A_Germany_706,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Levothyroxine,Fatigue
BATCH_Site_D_China_219,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Fatigue
BATCH_Site_B_India_321,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Amoxicillin,Fever
BATCH_Site_B_India_164,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Joint_Pain
BATCH_Site_B_India_786,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,South_America,Albuterol,Dizziness
BATCH_Site_A_Germany_876,-1,2,0.27043099857881053,LOW,0.9777777777777777,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Atorvastatin,Dizziness
BATCH_Site_A_Germany_163,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Amoxicillin,Allergic_Reaction
BATCH_Site_C_USA_602,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Allergic_Reaction
BATCH_Site_B_India_205,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Fatigue
BATCH_Site_B_India_530,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Ibuprofen,Fever
BATCH_Site_C_USA_054,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Atorvastatin,Fever
BATCH_Site_E_Brazil_397,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Omeprazole,Headache
BATCH_Site_E_Brazil_528,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Aspirin,Allergic_Reaction
BATCH_Site_D_China_068,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Ibuprofen,Fever
BATCH_Site_C_USA_919,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Amoxicillin,Dizziness
BATCH_Site_B_India_906,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,South_America,Ibuprofen,Headache
BATCH_Site_B_India_962,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Amoxicillin,Dizziness
BATCH_Site_D_China_554,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Levothyroxine,Dizziness
BATCH_Site_B_India_487,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Levothyroxine,Headache
BATCH_Site_E_Brazil_659,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Atorvastatin,Rash
BATCH_Site_D_China_586,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Amoxicillin,Headache
BATCH_Site_B_India_557,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Albuterol,Joint_Pain
BATCH_Site_D_China_496,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Atorvastatin,Insomnia
BATCH_Site_A_Germany_969,-1,3,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Levothyroxine,Fatigue
BATCH_Site_C_USA_410,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Aspirin,Fever
BATCH_Site_B_India_897,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Aspirin,Allergic_Reaction
BATCH_Site_B_India_416,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Ibuprofen,Dizziness
BATCH_Site_D_China_324,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Omeprazole,Headache
BATCH_Site_E_Brazil_607,-1,2,0.26820877635658835,LOW,0.9666666666666667,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Metformin,Fatigue
BATCH_Site_A_Germany_968,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Atorvastatin,Dizziness
BATCH_Site_E_Brazil_996,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Amoxicillin,Nausea
BATCH_Site_D_China_466,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Albuterol,Dizziness
BATCH_Site_C_USA_146,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Atorvastatin,Dizziness
BATCH_Site_E_Brazil_921,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Omeprazole,Insomnia
BATCH_Site_D_China_009,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Amoxicillin,Fever
BATCH_Site_E_Brazil_199,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Amoxicillin,Headache
BATCH_Site_A_Germany_294,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Amoxicillin,Joint_Pain
BATCH_Site_E_Brazil_988,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Omeprazole,Dizziness
BATCH_Site_C_USA_772,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Ibuprofen,Allergic_Reaction
BATCH_Site_E_Brazil_757,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Albuterol,Headache
BATCH_Site_D_China_476,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Aspirin,Dizziness
BATCH_Site_E_Brazil_236,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,South_America,Albuterol,Dizziness
BATCH_Site_B_India_993,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Atorvastatin,Joint_Pain
BATCH_Site_E_Brazil_676,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,South_America,Lisinopril,Fatigue
BATCH_Site_D_China_940,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Amoxicillin,Fatigue
BATCH_Site_C_USA_182,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Albuterol,Headache
BATCH_Site_B_India_646,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Levothyroxine,Allergic_Reaction
BATCH_Site_E_Brazil_675,-1,3,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Amoxicillin,Allergic_Reaction
BATCH_Site_B_India_202,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Albuterol,Nausea
BATCH_Site_B_India_995,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Dizziness
BATCH_Site_D_China_137,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Aspirin,Allergic_Reaction
BATCH_Site_A_Germany_484,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Metformin,Fever
BATCH_Site_E_Brazil_989,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Ibuprofen,Insomnia
BATCH_Site_E_Brazil_859,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Ibuprofen,Rash
BATCH_Site_A_Germany_217,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Lisinopril,Allergic_Reaction
BATCH_Site_E_Brazil_086,-1,2,0.2659865541343661,LOW,0.9555555555555556,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Amoxicillin,Headache
BATCH_Site_A_Germany_739,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Metformin,Fever
BATCH_Site_A_Germany_423,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Ibuprofen,Dizziness
BATCH_Site_B_India_213,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Metformin,Fatigue
BATCH_Site_B_India_576,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Atorvastatin,Insomnia
BATCH_Site_A_Germany_592,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Metformin,Allergic_Reaction
BATCH_Site_A_Germany_265,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Aspirin,Nausea
BATCH_Site_E_Brazil_922,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Omeprazole,Fever
BATCH_Site_E_Brazil_623,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Atorvastatin,Allergic_Reaction
BATCH_Site_B_India_777,-1,3,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Dizziness
BATCH_Site_C_USA_923,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,South_America,Atorvastatin,Allergic_Reaction
BATCH_Site_E_Brazil_882,-1,3,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Aspirin,Dizziness
BATCH_Site_B_India_014,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Aspirin,Allergic_Reaction
BATCH_Site_D_China_938,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Levothyroxine,Allergic_Reaction
BATCH_Site_C_USA_741,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,South_America,Albuterol,Fatigue
BATCH_Site_D_China_410,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Amoxicillin,Dizziness
BATCH_Site_C_USA_399,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Dizziness
BATCH_Site_E_Brazil_833,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Amoxicillin,Headache
BATCH_Site_C_USA_267,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Albuterol,Fatigue
BATCH_Site_B_India_150,-1,3,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Lisinopril,Fever
BATCH_Site_B_India_555,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Amoxicillin,Allergic_Reaction
BATCH_Site_D_China_448,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Lisinopril,Dizziness
BATCH_Site_E_Brazil_842,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Lisinopril,Headache
BATCH_Site_D_China_182,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Dizziness
BATCH_Site_B_India_413,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Lisinopril,Headache
BATCH_Site_E_Brazil_165,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Ibuprofen,Headache
BATCH_Site_B_India_667,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Aspirin,Dizziness
BATCH_Site_D_China_196,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Atorvastatin,Dizziness
BATCH_Site_E_Brazil_287,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Fatigue
BATCH_Site_E_Brazil_313,-1,2,0.2637643319121439,LOW,0.9444444444444444,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Albuterol,Headache
BATCH_Site_D_China_635,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Dizziness
BATCH_Site_D_China_451,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Atorvastatin,Dizziness
BATCH_Site_D_China_543,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Lisinopril,Allergic_Reaction
BATCH_Site_B_India_003,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Metformin,Insomnia
BATCH_Site_D_China_275,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Ibuprofen,Insomnia
BATCH_Site_C_USA_852,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,South_America,Levothyroxine,Dizziness
BATCH_Site_C_USA_896,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Headache
BATCH_Site_D_China_185,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Omeprazole,Rash
BATCH_Site_C_USA_083,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Albuterol,Headache
BATCH_Site_A_Germany_084,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Omeprazole,Insomnia
BATCH_Site_C_USA_066,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Levothyroxine,Allergic_Reaction
BATCH_Site_C_USA_168,-1,3,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Headache
BATCH_Site_D_China_722,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Allergic_Reaction
BATCH_Site_D_China_805,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Ibuprofen,Headache
BATCH_Site_A_Germany_608,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Atorvastatin,Nausea
BATCH_Site_B_India_851,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Amoxicillin,Stomach_Pain
BATCH_Site_A_Germany_930,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Atorvastatin,Nausea
BATCH_Site_C_USA_286,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Albuterol,Insomnia
BATCH_Site_B_India_649,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Atorvastatin,Dizziness
BATCH_Site_A_Germany_431,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Levothyroxine,Allergic_Reaction
BATCH_Site_D_China_112,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Europe,Amoxicillin,Allergic_Reaction
BATCH_Site_D_China_974,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Asia,Aspirin,Dizziness
BATCH_Site_D_China_776,-1,3,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,North_America,Albuterol,Dizziness
BATCH_Site_A_Germany_527,-1,2,0.26154210968992164,LOW,0.9333333333333333,0,0.00039611238724901465,0.4987735077677841,0.0,0.0,Africa,Lisinopril,Insomnia
